minibatch,ROUGE-1 (F),ROUGE-2 (F),ROUGE-3 (F),ROUGE-L (F),ROUGE-S4 (F)
45000,0.368244,0.156299,0.068403,0.343997,0.138564
10000,0.320912,0.123945,0.052219,0.300987,0.107552
25000,0.346960,0.144466,0.062734,0.324488,0.126077
40000,0.328358,0.133530,0.057584,0.305254,0.115753
47500,0.308056,0.120487,0.049723,0.286920,0.104187
52500,0.356724,0.150286,0.066803,0.333075,0.132669
7500,0.318622,0.115504,0.044097,0.297543,0.101211
5000,0.305836,0.109688,0.044352,0.287351,0.094086
20000,0.357174,0.151127,0.068793,0.334157,0.130970
27500,0.360838,0.155222,0.072119,0.337365,0.134886
42500,0.357784,0.149977,0.067892,0.333937,0.133340
55000,0.277171,0.105143,0.044136,0.261439,0.088816
37500,0.371094,0.160055,0.072667,0.344674,0.141756
15000,0.351413,0.140113,0.059379,0.328948,0.124224
50000,0.351226,0.145578,0.063915,0.326308,0.129461
35000,0.367692,0.158355,0.072890,0.343246,0.142193
12500,0.331975,0.131491,0.056770,0.310085,0.114615
30000,0.372677,0.158705,0.071986,0.345274,0.140530
2500,0.290612,0.101907,0.038338,0.274150,0.086394
57500,0.339386,0.142346,0.062144,0.316081,0.122228
17500,0.328050,0.134024,0.059186,0.309588,0.114276
22500,0.365803,0.155730,0.070582,0.341633,0.137203
32500,0.344343,0.144788,0.062730,0.320442,0.125457
