minibatch,Time (hours),ROUGE-1 (F) Score),ROUGE-1 (F),ROUGE-2 (F),ROUGE-3 (F),ROUGE-L (F),ROUGE-S4 (F),,hours/epoch,epoch/example,example/minibatch,multiplier,score
2500,0.447533975,29.1349,0.291349,0.100756,0.037643,0.274094,0.087802,,1.33,1/3803957,512,0.000179014,100
5000,0.89506795,28.983,0.28983,0.102272,0.040523,0.27197,0.085521,,,,,0.000179014,100
7500,1.342601925,30.2066,0.302066,0.109809,0.045264,0.282871,0.092674,,,,,0.000179014,100
10000,1.7901359,30.1948,0.301948,0.109167,0.042495,0.283004,0.094179,,,,,0.000179014,100
12500,2.237669875,30.9197,0.309197,0.110068,0.042186,0.290392,0.096836,,,,,0.000179014,100
15000,2.68520385,31.0374,0.310374,0.111439,0.044248,0.290475,0.097036,,,,,0.000179014,100
17500,3.132737825,30.8311,0.308311,0.110001,0.044601,0.287602,0.096453,,,,,0.000179014,100
20000,3.5802718,31.1013,0.311013,0.117072,0.050097,0.293756,0.099193,,,,,0.000179014,100
22500,4.027805775,30.4771,0.304771,0.108303,0.042328,0.285374,0.09527,,,,,0.000179014,100
25000,4.47533975,31.0349,0.310349,0.116593,0.048224,0.289696,0.100145,,,,,0.000179014,100
27500,4.922873725,32.3052,0.323052,0.127243,0.055679,0.304021,0.108704,,,,,0.000179014,100
30000,5.3704077,31.3714,0.313714,0.116708,0.04582,0.293164,0.098341,,,,,0.000179014,100
32500,5.817941675,30.9478,0.309478,0.115681,0.048469,0.290594,0.099235,,,,,0.000179014,100
35000,6.26547565,31.8217,0.318217,0.114445,0.047377,0.298688,0.102807,,,,,0.000179014,100
37500,6.713009625,32.1363,0.321363,0.120701,0.051175,0.30185,0.10672,,,,,0.000179014,100
40000,7.1605436,30.4513,0.304513,0.111929,0.046603,0.28635,0.098941,,,,,0.000179014,100
42500,7.608077575,31.9833,0.319833,0.123001,0.053533,0.300633,0.103573,,,,,0.000179014,100
45000,8.05561155,32.5928,0.325928,0.121296,0.048499,0.305035,0.107019,,,,,0.000179014,100
47500,8.503145525,31.0215,0.310215,0.116797,0.049557,0.291445,0.101857,,,,,0.000179014,100
50000,8.9506795,32.0992,0.320992,0.123597,0.051845,0.301021,0.106312,,,,,0.000179014,100
52500,9.398213475,32.3742,0.323742,0.120291,0.053345,0.302515,0.1087,,,,,0.000179014,100
55000,9.84574745,28.7336,0.287336,0.105411,0.043878,0.268714,0.08894,,,,,0.000179014,100
57500,10.29328143,32.2245,0.322245,0.122353,0.05335,0.301139,0.104701,,,,,0.000179014,100
60000,10.7408154,32.5582,0.325582,0.125393,0.051789,0.303296,0.108215,,,,,0.000179014,100
62500,11.18834938,22.9202,0.229202,0.072793,0.028335,0.216331,0.059233,,,,,0.000179014,100
65000,11.63588335,32.4723,0.324723,0.122737,0.051252,0.304622,0.108343,,,,,0.000179014,100
67500,12.08341733,33.0541,0.330541,0.123605,0.052051,0.308531,0.110903,,,,,0.000179014,100
